"","numero_episodio","Titulo","Tipo","rate","votes","Saga","Lancamento"
"146",146,"The Successor's Wish","Filler",6.3,222,"s7 The Six-Tailed Demon Slug",2010
"147",147,"Rogue Ninja's Past","Filler",6.3,224,"s7 The Six-Tailed Demon Slug",2010
"148",148,"Heir to Darkness","Filler",6.1,221,"s7 The Six-Tailed Demon Slug",2010
"149",149,"Separation","Filler",6.4,220,"s7 The Six-Tailed Demon Slug",2010
"150",150,"The Forbidden Jutsu Released","Filler",6.4,224,"s7 The Six-Tailed Demon Slug",2010
"151",151,"Master and Student","Filler",6.5,233,"s7 The Six-Tailed Demon Slug",2010
"152",152,"Somber News","Manga Canon",8.2,352,"s8 Two Saviors",2010
"153",153,"Following the Master's Shadow","Manga Canon",8.5,394,"s8 Two Saviors",2010
"154",154,"Decryption","Manga Canon",7.9,335,"s8 Two Saviors",2010
"155",155,"The First Challenge","Manga Canon",7.9,336,"s8 Two Saviors",2010
"156",156,"Surpassing the Master","Manga Canon",7.7,334,"s8 Two Saviors",2010
"157",157,"Assault On the Leaf Village!","Manga Canon",8.1,352,"s8 Two Saviors",2010
"158",158,"Power to Believe","Manga Canon",8.4,376,"s8 Two Saviors",2010
"159",159,"Pain Vs. Kakashi","Manga Canon",9.2,875,"s8 Two Saviors",2010
"160",160,"Mystery of Pain","Manga Canon",8.4,379,"s8 Two Saviors",2010
"161",161,"Surname Is Sarutobi! Given Name, Konohamaru!","Manga Canon",8.5,411,"s8 Two Saviors",2010
"162",162,"Pain to the World","Manga Canon",9.1,781,"s8 Two Saviors",2010
"163",163,"Explosion! Sage Mode","Manga Canon",9.1,793,"s8 Two Saviors",2010
"164",164,"Danger! Sage Mode Limit Reached","Manga Canon",9.3,1032,"s8 Two Saviors",2010
"165",165,"Nine Tails, Captured!","Manga Canon",9.2,957,"s8 Two Saviors",2010
"166",166,"Confessions","Manga Canon",9.4,1114,"s8 Two Saviors",2010
"167",167,"Planetary Devastation","Manga Canon",9.4,1231,"s8 Two Saviors",2010
"168",168,"Fourth Hokage","Manga Canon",9.4,1154,"s8 Two Saviors",2010
"169",169,"The Two Students","Manga Canon",8.5,407,"s8 Two Saviors",2010
"170",170,"Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 1","Filler",6,231,"s8 Two Saviors",2010
"171",171,"Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 2","Filler",6,229,"s8 Two Saviors",2010
"172",172,"Meeting","Manga Canon",7.9,343,"s8 Two Saviors",2010
"173",173,"Origin of Pain","Manga Canon",8.5,399,"s8 Two Saviors",2010
"174",174,"Tale of Naruto Uzumaki","Manga Canon",8.6,499,"s8 Two Saviors",2010
"175",175,"Hero of the Hidden Leaf","Manga Canon",9.2,1042,"s8 Two Saviors",2010
"176",176,"Rookie Instructor Iruka","Filler",6.9,235,"s9 The Locus Of Konoha",2010
"177",177,"Iruka's Ordeal","Filler",6.7,223,"s9 The Locus Of Konoha",2010
"178",178,"Iruka's Decision","Filler",6.8,223,"s9 The Locus Of Konoha",2010
"179",179,"Kakashi Hatake, the Jonin in Charge","Filler",6.6,226,"s9 The Locus Of Konoha",2010
"180",180,"Inari's Courage Put to the Test","Filler",5.9,221,"s9 The Locus Of Konoha",2010
"181",181,"Naruto's School of Revenge","Filler",5.8,218,"s9 The Locus Of Konoha",2010
"182",182,"Gaara's Bond","Filler",6.5,217,"s9 The Locus Of Konoha",2010
"183",183,"Naruto: Outbreak","Filler",5.9,213,"s9 The Locus Of Konoha",2010
"184",184,"Deploy! Team Tenten","Filler",5.9,206,"s9 The Locus Of Konoha",2010
"185",185,"Animal District","Filler",5.3,224,"s9 The Locus Of Konoha",2010
"186",186,"Ah, the Medicine of Youth","Filler",5.9,208,"s9 The Locus Of Konoha",2010
"187",187,"Gutsy Master and Student: The Training","Filler",6.1,209,"s9 The Locus Of Konoha",2010
"188",188,"Record of the Gutsy Ninja Master and Student","Filler",6.1,204,"s9 The Locus Of Konoha",2010
